Score,Summary,Text
5,The only thing that worked,"I understand all the complaints about Science Diet. Believe me I avoided this food for quite awhile based on that information. I'm not thrilled about the filler, would prefer a food with no by-products, and yes in general think it is over priced. But my cat was throwing up everything else. And I do mean EVERYTHING else. I have tried so many top of the line foods for him and every single one he threw up. I took him to the vet, had all the xrays done, all the blood work done, put him on antibotics just in case... nothing. He is a perfectly healthy cat except that he was throwing up food 2 to 3 times a week. I talked to my mom who had 2 Siamese cats that lived into thier late teens and she said she fed them Science Diet. In fact, one of them had urninary tract problems and the SD was the only food that stopped his problems. So yes, I understand everything everyone is saying about why SD is so horrible... yet I can't argue with the results. I fed my cat this and it's been 3 weeks with no vomiting. My mom fed it to her cats and they lived long, healthy lives. I just can't argue with the results. And even if there were risks it's worth it not to have my poor kitty completely emptying his stomach 2-3 times a week from food that is making him sick. If your cat keeps throwing up, you've had the vet check him and there is nothing wrong and no other food is working... try this food. It really did work for my cat."
4,"Bag keeps getting smaller, price stays the same","My cat has been eating this for years, and it seems that the bag keeps getting smaller and the price (for a while) kept going up!  My cat has very sensitive stomach - so this does the trick.  I just hoped it contained more meat verses fillers!"
5,My cat likes the taste,"My cat is 13 years old.  I had been feeding her Friskies Dental Diet for most of her adult life, but it was discontinued.  While on the dental diet she never needed to have her teeth cleaned.  I decided to try the Science Diet brand.  She seems to really enjoy the taste of it.  I mix it with some smaller dry food and she picks out the large Science Diet food first.  It's too soon to see if it will work as well as the Friskies on her teeth, but hopefully it will."
5,Huge difference,"Like other reviewers, I have a cat who would get sick often. I had her checked for issues, but she is otherwise healthy.<br /><br />So when a my new vet suggested a sensitive stomach food, such as this, I figured it was worth a shot.<br /><br />The difference is amazing. She still has an occasional hairball (this doesn't fix that issue...I didn't expect it to. And my fluffball has more fur than any other living creature, so I can handle a once-a-month hairball). But her near daily throwing up has stopped."
5,wish I'd started using it 5 years ago,"I have two litter mates.  One can eat anything with no problem.  The other always vomits ten minutes after eating, no matter what she eats: canned or dried makes no difference and I've tried every store brand there is.  Hairball treatments had no effect.  I figured ""cats throw up"" and didn't worry about it.  When I moved and switched vets the new vet asked if the cats ever threw up.  When she heard about the one cat she said cats do NOT just throw up and told me to get the Science Diet sensitive stomach food.  Yes, it's 4x the price of what I'd been buying, but I noticed a difference with the first bowl.  Instead of throwing up ten minutes after literally every meal, now she throws up maybe once a month.  If only I'd switched to this brand years ago we both would have been saved a lot of misery.  Even tho it costs more I've noticed that the bag seems to last longer than the same amount of cat chow did."
4,My cats like this!,"Since Frisky no longer makes those great little round balls of Dental Diet cat food, I had to go looking for something else. Science Diet seemed to be the only likley alternative. My cats liked the different size and texture of the round balls but in their infinite wisdom Frisky (the nitwits) decided there wasn't a market for the product any longer. Fat lot they know. Our three cats don't love this ""dental diet cat food"" as much at the round balls but they do eat it along with their other food. I buy only grain free Orijen and another dry cat food intended for indoor cats. Our cats enjoy the variety and it does seem to work. The Science Diet has an almost greasy coating on the surface but this seems to draw our cats to it. The size and shape forces them to chew it and this is good for their teeth. We have one cat that loves to swallow his cat food without chewing. How he does it when it's dry, I don't know! I believe that the larger size alone means healthier teeth and gums for our cats. Two of our cats (9 yrs old) are of a breed that is known to suffer from gum diease. They have healthy gums. I believe that a dental diet cat food helps to prevent gum disease....and the larger size provides variety to their diet that they enjoy. Not everything a cat eats has to be 100% certified good for them. Can you imagine if we always ate only healthy food! Boring! If you provide a good quality dry cat food, plenty of water (we use a fountain), routine exercise (play with them!) and a canned cat food as a treat now and then....you will have healthy and happy cats."
5,The best thing for cat's teeth,"Although it may seem just a tad precious, our vet recommended this for a young cat who doesn't brush.  He has clean teeth, fresh breath, and I hope will have all his teeth all his life.  Plus, both he and his girl friend love the taste!"
1,Buyer Beware - Potential Choking Hazard,"I believe that people need to be aware of the fact that the kibble size of the Adult Oral Care Dry Cat Food is VERY large and presents a potential choking hazard to their pets.  I transitioned my cat to this food from the Science Diet kitten formula when he was about 15 months old.  From day one, I thought that the kibble size was abnormally large for cat food.  I've had cats for over twenty years, and have used many different cat food formulas.  Never have I seen one with kibble this large.  It is close to marble sized.  It was so large that my cat would take one piece out of his bowl at a time to eat it.<br /><br />Even though I was concerned, I was naive enough to think that Hill's would not manufacture a food that could in any way harm a person's pet as Science Diet is highly recommended by many vets.  I was terribly wrong.  About a month after transitioning to this formula, I watched in horror as my beautiful little oriental shorthair stood choking after a piece of kibble got stuck in his mouth.  For anyone who has ever witnessed this, it is a horrible sight.  The poor little cat will pant and paw at the side of their face - as if they want to reach their paw into their mouth, but can't.  I was extremely fortunate - as my boy was finally able to expel the piece of kibble from his mouth, which of course came out whole. I immediately threw the remainder of the food in the trash can.  As painful as it was to watch, I considered it a warning.  Had I not been home to witness the scene, it could have easily happened again with far more dire consequences.<br /><br />I subsequently wrote to Hill's about my concern that this food presented a choking risk and received the most ridiculous and uncaring response that you can possibly imagine.  First they felt compelled to tell me that this particular formula was designed to maintain oral care and that they had a different formula for adult cats.  This was completely insulting as I was very much aware of that fact and had intentionally purchased the food for the stated oral care benefits.  In addition, the fact that they have other formulas has nothing to do with the concern I have with this particular formula.  Next they asked if I ""transitioned"" my cat to the new food, in what I can only interpret as a lame attempt at trying to make me feel as if I was somehow responsible for the situation.  Short of putting the food into a blender, there would be no other appropriate way of ""transitioning"" one's pet to avoid the risk of choking on this product.<br /><br />I don't for one minute believe that my cat's experience was an isolated occurence.  If you are thinking about buying this product, please, please, please be aware of the risk as it is VERY real."
1,Please avoid!!,"Please do your research on pet foods and what is actually good for your cats.  Hills science diet is a horrible food filled with horrible ingredients.  They charge an outrageous price because it's the #1 vet recommended food.  This is a joke and the only reason why it's rated #1 buy vets is because Hills gives money to soon to be vets to help them go through school.  Then they sell the cat food to them cheap so they can jack up the price and make a nice profit off of your marketing foolishness.  Read the back of the labels of Hills brand and you will see that most of the top ingredients are grains or cheap meat by products which are the feathers, bones, unwanted organs from animals, basically all of the stuff we wouldn't eat. try something like orijen or evo."
3,Too large for cats,"This food may be good for my cats, but two of my ragdolls, and these are large cats, will not eat the chunks because they are so large."
5,Excellent for good health of cat,"After a year on kitten food, one of my two cats began to get rather chubby.  He had a hard time hauling himself up onto one of the cat perches in the house.  We switched to this food when they hit their one-year birthday, and my little chubby cat began to lose weight.  Now, a year later, the indoor cat formula is all they eat, and my cat can jump up to the top bunk of the cat perch with no problems at all.  He has an all-star physique.  I do have to say, they preferred the kitten food too at first, but when given no other options, they eat this food with no problems.  If you look at the nutritional content of the food, indoor cat formula has very little fat, while kitten food is quite high in it.  Oh, and I've also seen *maybe* one hairball in the last year.  Not bad."
4,Good Food,Science Diet has always been known for decent quality food to feed your cat or dog.  This product is no different.  I have a finicky cat who will only eat certain types of dry food and this seems to be one of them.  She took right to the dry without any hesitation and seems to continue to enjoy it.<br /><br />On the downside is the size of the food.  The food comes in large triangular shaped pieces that some cats may not like.  Buy a small bag and try it for your pet.<br /><br />4/5 stars for the size of the food and the price tag.
5,Meow!,What can I say...this is the only brand of food my cat will eat. She tears into the bag by chewing on it as soon as I get it. I have to pour in into a plastic container. It also controls hair balls.
5,yummi for the cats,We got 2 cats. 1 Siami and 1 Main Coon. Food is great and the cats like it. So what i have to say?
5,Saved my Cat,"This product was recommended by my vet, and literally saved my cat's life. I was very worried and was willing to try any diet on the market. Really, I have tried many diets etc but nothing seemed to help out my cat after the sudden onset of irritable bowel syndrome (IBS).  I have no idea of where that came from. I always gave him clean water; fresh food etc but this caught me off guard. I have been feeding him ""Friskies"" prior to Hill's and everything was fine until one weekend. After a couple of days of feeding him, I noticed an immediate difference. My cat was no longer passing soft stools (diarrhea), and was eating as he normally did. The diet also seems to have been helping him regulate his weight also. He was a very big guy (~20 lbs) but now he is down to 16, after about 4 months on Hill's. Thumbs up and 5 stars for this product!"
5,Best cat food ever?,Wow if i knew how much cats would love this stuff i would have been feeding it to any and all of my cats long ago.  You would think it was wet food the way my kitty chows it down.  I got it because he had gingivitus and i had to spend quite a bit to have his teeth worked on.  The vet told me his teeth are still looking nice and clean a few months later!
5,Five stars and an Eight paw Salute,"Ok cats, you can stop wiggling and showing me your lovely bellies, and get up and play.<br /><br />Let's get down to the nitty gritty. Hill's Science Diet Adult Hairball Control Dry Cat Food does what it says it does and MORE!!!<br /><br />Now, I DO feed my cats wet food, so I give them Hill's Science Diet Adult Hairball Control Dry Cat Food as a TREAT and a SUPPLEMENT -- and it is powerful stuff!! To be graphic, let's just say that Big Bad Baby Twinkle's poops used to look like small rocks, no matter what I did for her food (and she loves her daily hairball gel too) -- but NOW after feeding her even a small amount of Hill's Science Diet Adult Hairball Control Dry Cat Food (twice a day after she eats her wet food) one look at her litterbox and I think that a German Shepherd has visited the litterbox. To say that this makes me happy may sound wierd but now I KNOW that ""stuff"" is moving THROUGH her intestines and not getting impacted or staying inside and creating toxins.<br /><br />The same for Cee Cee kitty -- she, who is daaainty and small (BBBT weighs twice as much as Cee Cee and is twice as long as Cee Cee), also pops out some big ones now. I am happy -- yes I am -- this means their intestinal transit time (from eating to pooping) is shorter and they are healthier for it."
5,Hills Science Diet Oral Care,My cat loves this cat food! He likes the big chunks and if I mix it with another variety which is smaller nuggets he sifts through and pulls out the bigger oral care pieces. Another plus - my cat is 13 and has never had his teeth cleaned. The Vet believes the oral care chunks have been beneficial in keeping down the tartar on his teeth.
5,the only cat food I buy,"My 2 indoor cats have been on this food forever.  They do not get any canned food supplements.  However, with all the Science Diet flavors I often find that the large bag of this one is not in stock when I go to buy it in my local pet stores including the big box stores like Petco or Petsmart.  so finding it on Amazon and eligible for Prime shipping made my day."
5,Only food my cats can agree on,"This is the only flavor of Science Diet (or any other brand) they will all eat without complaint. I don't know what I'll do if they stop making it. I have 3 cats, two Maine Coons who get hairballs, and this stuff really works to prevent that. As long as they eat some of it daily no more hairballs on the floor. It's a great product. I hope they never try to ""improve"" the recipe or change it in any way, or my cats will probably reject it as they have so many others! If it ain't broke please don't fix it, Science Diet! It's a winner as is."
5,vomiting cats?,"We have several cats, one of which has had a vomiting problem for many years.  We tried many cats food.  Science diet sensitive is one of the foods that works.  There are 2 otherss.  1 is Purina 1 Sensitive which is also great.  the other is a Royal Canin Oral Sensitive.  I think the Science Diet and the Purina 1 are the best.  We also give the cat Prednisolone under a Vet prescription, as the vet said it was inflamatory bowel disease."
5,Does what it claims,I had to stop giving my  15 year old cat dry food because he could no longer hold it down (even the ones with only whole food ingredients were too hard on his system).  He would even throw up blood clots if I had to leave him with dry food for a couple of days.  His stool became loose and smelled even worse than usual.  I gave him this on a trip that I had to bring him along with me and he has been doing great on it. His stool is hard now and he holds it down.
5,Saved my kitty from having dental surgery!,"I have a multiple cat household.  My vet said ""for the health of the animal"" this cat needs to have his teeth cleaned.  Kitty is a rescue and he gulps his food.  I decided to add Hill's Adult Oral Care to his regular food for two months and see if it made a difference.  Two months later, my vet examined him and he no longer needs the cleaning!  Now every tail in my home has this product added to their favorite food."
5,Bought this for the Fiber,"Was feeding my 3 cats - Blue Buffalo Blue Wilderness Chicken Dry Cat Food - which is one of the best brands out there... No grain, all meat, blah blah.  Cats loved it over all the other 'meat only' brands...<br /><br />Only problem was... soft stools...  Talked to the vet and she said that sometimes cats need some form of fiber, even if it isn't nutritious, it helps to bulk up the stools and get rid of the God awful odor...<br /><br />So went up and down the food aisle and this particular brand/version had the highest fiber content of all of the bags of food.  The BWC food has 3.5% fiber... This indoor cat food has 10% fiber... yes it is indigestible corn... that's the whole idea... a form of roughage to helps the bowels.  This food also has added fiber on top of the corn stuff etc...<br /><br />So I'm going to see if this helps with the soft very stinky stools... if it does, I'm sticking with it.<br /><br />So far the cats haven't seemed to mind the larger kibble size.  They chomp a piece in half, and eat both halves..."
5,Blotto cries for it!,"My cat has gingivitis, and he's only 2. My vet prescribed fancy expensive food that you can only get from a vet. I did some research, and this stuff is made by the same company, with a nearly identical ingredients list. While i was mixing in his old food with this stuff to acclimate him, he'd pick out the new food until he ate it all, leaving behind his purina!<br />As far as helping his gingivitis, it's helped a little. The plaque has gone down considerably, but the gumline is still reddish. He really loves this stuff, so I'll probably buy this again."
5,My kitty LOVES it.,"The story goes that I adopted a cat from an agency last summer. Having always grown up with dogs and not cats, I went ahead and wandered down to my Target to get a bag of Friskies. About a week later, my kitty (named Sugar) starting vomiting. Confused, I assumed it was the wet food we were feeding her in the morning. So we changed it. Then we changed it again. No results. I took her to the vet and asked. He checked her out and said likely the problem was having a sensitive stomach and he recommended Science Diet. Bam. My cat does great now. She's lost a little bit of weight so she's the right size now. She doesn't vomit anymore. This food works and it works well. I read the negative review here and I would say the problem was unique to the cat. My cat loves it and is doing brilliantly now."
1,The worst snap-lock reseal ever made?,"I feed Hills Science diet to my pet because I love him and the vet tells me I should. But in all honesty, this product has what is quite certainly the worst snap-lock reseal that I have ever encountered. It is painfully difficult to get it to close properly; and even when it is resealed as best it can be there are still gaps on the side that allow air in to oxidize the product.<br /><br />Packaging IS important. It is no better for your pet to live on stale, oxidized food than it would be for you. Oxidized fats are also called rancid. If you imagine how healthy a rancid diet is for a human... well, you get the idea. This is about more than just inconvenience.<br /><br />I am posting this review for all the Hills Science diet products with this kind of packaging. If you have had the same experience as me with this product, please take the time to let this company know about it.<br /><br />I love my animal. I want to keep feeding him what the vet tells me is good for him. But this quite literally the worst reseal that I have ever had the misfortune to encounter.<br /><br />Theo."
1,"Filler food is empty, leaves your cat always needing more","This review will make me sound really stupid, but whatever. I don't really care as long as people find out what's real and can avoid my mistakes.<br /><br />I got my wonderful little sweet Bella Bean when she was a few days shy of three years old. She had been bounced around from house to house and eating whatever was cheap. I have had cats around me my entire life, for about twenty-five years now. My mother always just fed them whatever, the kinds of food you buy in the supermarket - Friskies, Nine Lives, Kit & Kaboodle, stuff like that. And our cats were always fine, at least in terms of their eating habits. They would eat in the morning, stop when they were done, come back, and eat some more when they got hungry.<br /><br />My housemate at the time was working for Hill's and assured me that this was the best food ever made, so great, so on and so forth. I now know that she is an utter buffoon, but I initially trusted her judgment, which is so unfortunate because she doesn't think. She also had plenty of coupons for free or deeply discounted bags, which made it a much more attractive choice.<br /><br />I first tried feeding the little Bean an unmeasured amount of Science Diet in a bowl, but that didn't work, as she would devour it in one sitting. So then I took to measuring it, and she did the same thing. Then I started parsing it out to twice a day. That didn't work either, because she would start going crazy in the middle of the day, running around, intentionally destroying things, deliberately spilling her water, crying, etc., until she got more food. So then I split it into three servings. Same thing. Then it got to be four servings. That was a little better, but it was too much maintenance and unrealistic to be around every day to feed her four times. So then it went back to three. All the while, I was trying to reduce the amount of food I was feeding her to less than 3/4 of a cup because she was a little chubby. Reducing was hell. She became even more hungry, but I figured she would get used to it. Not really.<br /><br />For over a year, she would wake me up every morning looking for food in a serious way, knocking things off my desk, ripping up any paper she could find, scratching at the door and committing general acts of mischief. As soon as she got food, she was back to her sweet self, but only for three or four hours.<br /><br />We thought she was bored, we thought she was a little nutty, and maybe even had a kitty eating disorder. She always wanted food. It was kind of funny but in the end it was just sad.<br /><br />A few weeks back, we took her to a new (good, non-money factory) vet for her second checkup since I've had her. I talked with him about her being always hungry. He asked what she ate, and I told him the adult indoor Science Diet. Without saying as much, he basically told me that this food is garbage and I should look for something else. He said cat food should have a protein followed by a carbohydrate as the first two ingredients. Science Diet does, in a very loose, by-product kind of way - ground up slaughterhouse leftovers and corn dust. Then they put a bunch of vitamins in it to make it ""healthy,"" instead of just using good ingredients from the beginning. Not that I care about spending money on the Bean, but this food is way too expensive for what it is.<br /><br />So we began transitioning her onto Wellness indoor formula about two weeks ago. She is still eating 50 percent Science Diet with 50 percent Wellness (you really shouldn't just give a cat different food one day out of the blue) but SHE NEVER FREAKS OUT ANYMORE. It's amazing. And it's 100 percent because she is eating real food now, along with that sawdust and chicken hearts I still regrettable have to feed her. We have her down to eating twice a day, only 1/3 cup in TOTAL. She was eating three times a day, 5/8 of a cup in total. Now she eats some in the morning, walks away, eats some more a few hours later, and then looks for dinner about twelve hours after her initial feeding. No more knocking things over, no more trashing Dad's papers on the desk, no more howling, no more deliberately spilled water on the floor. It's incredible.<br /><br />I feel so bad that I was doing this to her for so long. We really thought she was just being dramatic or whatever. But no, she was genuinely hungry because she wasn't eating any real food.<br /><br />Do your cat a favor - buy her or him so food made with real ingredients, things you would eat - Wellness, Halo, Innova, Evo, whatever. Figure it out for yourself, but please don't feed your cat this. It's garbage."
1,Look at the Ingredient List,"This food is not a good food and is not worth the money.  It contains by products and lots of corn.  It will make your cats fat and lazy.  My friend's cat was vomiting and had been to every vet and had every test but when she switched the food to Innova Evo, the cat stopped vomiting.  Do not buy this food because for the same price you can buy Evo which is grain free and made with table-grade meat. SCIENCE DIET IS GARBAGE!"
1,Worst Junk Food Ever,"I have two cats and have always been feeding them this food,one is 5 and the other 9 years old and they are both 15 pounds.So they are fat and I could never figure out why,since they only got to share on cup between each other all day.So about two weeks ago I did some research on this food and my eyes were opened.I feel horrible that I fed them this junk food and I thought I was giving them the Best out there,since my Vet gave it to me and said it was great for them.<br />So anyways my male cat is now on Wellness Indoor dry and expensive wet food like Blue Buffalo,Wellness and Merrick.He loves it and I had no problem switching him over and I already notice the difference in his energy level.But my biggest issue is my female cat,she will not touch any other food than her Science junk food.I tried mixing it with the new food,starting at 75% old to 25% new,nothing she wouldn't touch it.So I tried 90% to 10%,still nothing.She cried and wined and didn't eat one morsel in four days and was just laying in one spot all day having even less energy than before.So I called my new Vet and she said now it is getting dangerous because she wouldn't eat at all.I had to give her her old junk food back,because I did not want her to die.I have no idea what to do,she is so addicted to this food and I can't get her of it.She hates wet food with a passion.I am worried about Diabetes if she will get any bigger.So I am really sad that nothing seems to work with her.<br />I made her a junk food addict,it's my fault.I wish I never started her on this food at all."
2,Terrible ingredients but my cat did eat it.,"Check the first 4 ingredients: Brewers Rice, Chicken By-Product Meal, Corn Gluten Meal, Powdered Cellulose. Rice is ok but not as a first ingredient in a cat food; meat by-product is sketchy in general in a food this expensive; corn meal I have no great opinion of, but whatever; but the 4th ingredient - powdered cellulose - is sawdust. SAWDUST is not what I want to feed my cat, even to help her lose weight.<br /><br />No wonder this food feels so ""light"" physically.  The color is lighter, and it is less dense than normal food because it's truly just fillers.<br /><br />I give it a second extra star because my cat would willingly eat this food and didn't seem to mind a whole lot, but I switched her (50/50 at first) to Blue Buffalo, which has real food ingredients and which she actually does prefer."
5,My Kitty Seems To Love It,"I don't know how I could say whether or not the cat food is tasty, but my kitty seems to like it.  My vet recommends this particular brand of food, so that's good enough for me."
1,Please avoid!!,"Please do your research on pet foods and what is actually good for your cats.  Hills science diet is a horrible food filled with horrible ingredients.  They charge an outrageous price because it's the #1 vet recommended food.  This is a joke and the only reason why it's rated #1 buy vets is because Hills gives money to soon to be vets to help them go through school.  Then they sell the cat food to them cheap so they can jack up the price and make a nice profit off of your marketing foolishness.  Read the back of the labels of Hills brand and you will see that most of the top ingredients are grains or cheap meat by products which are the feathers, bones, unwanted organs from animals, basically all of the stuff we wouldn't eat.  Please try another brand like orijen or evo.  your cat will thank you."
5,Excellent cat food,"My cat loves the taste of this food and is very healthy after eating this for years. She has a very healthy coat because she also gets at least 1 can of wet food per day which provides protein and healthy fats.<br /><br />Bottom line: if you want a healthy pet, you should do a combination of dry and wet food.<br /><br />The critics have unrealistic nutritional expectations if they are only feeding their animal dry food."
1,Toasted Corn and Rice for Cats!,"I was given a sample by my vet and my cats LOVED the stuff. I immediately saw that the amount they ate of this food was much more than their usual grain-free food, they seemed to be starving and feeding all the time. They also became less energized than usual, my cats are Siamese and are constantly running after each other and very active with their toys. They became lethargic and were not as interested in their usual activities. I called my vet and she suggested catnip and not to worry, hmm, never needed catnip before...<br /><br />Well I did worry, and did my research. Online I found that Science Diet's pride and joy is their belief in using corn and other grains, you also need a chemistry major in order to fully understand their ingredient list. Last time I checked my cats were obligate carnivores and was distressed that such a food was suggested, no less by my vet. Further research I found that the reason Science Diet is so recommended by vets is because Science Diet spends quite a bit of money in the major vet schools in the nation. They also give an incredible amount of money and support to many animal hospitals and shelters, for that I commend them much! I will give credit when credit is due, I think is wonderful that they give so much charity. With that said this food is nothing more than kibble, I can see why my cats were so hungry all the time, this food did not provide the energy they required. Going back to grain-fee, the first ingredients in this product are rice and corn.<br /><br />Also the fact that this food is so expensive when is no different that the kibble in supermarket stores is ludicrous!"
1,Close call!,"I took my 10 year old cat in to the vet today for his yearly check up.  Turns out my cat is the picture of health, but needs to drop about 2 pounds.  The vet recommended I switch my cat over to this cat food. I checked it out at the store, but after reading the ingredients I thought this can't be right.  First, its labeled for cats up to 6 years old, second it appears to be jammed will fillers, and third, its rather pricey.  I'm glad I came home and started researching this product and reading about others experiences with this food, and I'm definitely not feeding this stuff to my cat!"
5,cat food,"It's a nice snack with salsa when I'm watching tv.  Just kidding, the cats seem to like it. I'm supposed to write more words so I can submit this review. That should do it."
1,"Wow, I cant believe how expensive a bag of corn is!","No seriously, this is ridiculous, $45 for a bag of corn for obligate carnivores? brewers rice, corn gluten meal? wheres the meat?<br />Not to mention unnamed animal fat which could be anything including roadkill and euthanized shelter animals. There are much better quality grain free foods that cost less then this."
