Term,LoanStatusCode,BorrowerAPR,BorrowerRate,LenderYield,EstimatedEffectiveYield,EstimatedLoss,EstimatedReturn,ProsperRating (numeric),ProsperScore,ListingCategory (numeric),OccupationCode,EmploymentCode,EmploymentStatusDuration,IsBorrowerHomeownerCode,CurrentlyInGroupCode,CreditScoreRangeLower,CreditScoreRangeUpper,FirstRecordedCreditLine,CurrentCreditLines,OpenCreditLines,TotalCreditLinespast7years,OpenRevolvingAccounts,OpenRevolvingMonthlyPayment,InquiriesLast6Months,TotalInquiries,CurrentDelinquencies,AmountDelinquent,DelinquenciesLast7Years,PublicRecordsLast10Years,PublicRecordsLast12Months,RevolvingCreditBalance,BankcardUtilization,AvailableBankcardCredit,TotalTrades,TradesNeverDelinquent (percentage),TradesOpenedLast6Months,DebtToIncomeRatio,IncomeLevel,StatedMonthlyIncome,TotalProsperLoans,TotalProsperPaymentsBilled,OnTimeProsperPayments,ProsperPaymentsLessThanOneMonthLate,ProsperPaymentsOneMonthPlusLate,ProsperPrincipalBorrowed,ProsperPrincipalOutstanding,ScorexChangeAtTimeOfListing,LoanCurrentDaysDelinquent,LoanFirstDefaultedCycleNumber,LoanMonthsSinceOrigination,LoanNumber,LoanOriginalAmount,LoanOriginationDate,LoanQuarter,LoanYear,MonthlyLoanPayment,LP_CustomerPayments,LP_CustomerPrincipalPayments,LP_InterestandFees,LP_ServiceFees,LP_CollectionFees,LP_GrossPrincipalLoss,LP_NetPrincipalLoss,LP_NonPrincipalRecoverypayments,PercentFunded,Recommendations,InvestmentFromFriendsCount,InvestmentFromFriendsAmount,Investors
60,2,0.1963,0.1725,0.1625,0.15163,0.0724,0.07923,4,4,1,0,8,276,0,0,680,699,31401,10,9,28,10,1233,0,2,0,0,0,0,0,61284,0.46,69166,28,1,2,,2,12750,,,,,,,,,0,,2,129161,15000,41668,2,2012,395.37,8302.77,2975.24,5327.53,-214.04,0,0,0,0,1,0,0,0,19
60,2,0.23318,0.2085,0.1985,0.195,0.0565,0.1385,5,8,7,0,1,76,1,0,700,719,31428,9,7,44,4,80,1,5,0,0,1,1,0,2460,0.69,290,39,0.76,3,0.08,2,9000,,,,,,,,,0,,21,67402,13000,41066,4,2007,33.81,1011.65,1000,11.65,-0.88,0,0,0,0,1,0,0,0,53
36,3,0.303,0.29,0.285,,,,,,0,0,3,,0,0,520,539,35727,,,20,0,0,1,9,14,,3,0,,,,,,,,0.27,6,416.666667,,,,,,,,,2161,18,85,7286,1500,39122,1,2014,137.39,135.8174,88.64,47.1774,-3.4,0,0,0,0,1,0,0,0,1
36,2,0.14348,0.1153,0.1053,0.1015,0.0324,0.0691,6,6,1,0,1,209,1,0,720,739,30773,9,9,47,7,445,0,17,0,0,0,1,0,7465,0.61,3881,40,0.97,0,0.28,5,8166.666667,,,,,,,,,0,,12,87340,7000,41360,3,2013,275.63,1929.41,1449.41,480,-46.42,0,0,0,0,1,0,0,0,171
36,0,0.16717,0.16,0.15,,,,,,0,0,2,80,0,0,640,659,36193,13,7,25,6,403,2,2,0,0,2,0,0,11540,0.41,10778,23,0.91,1,0.37,3,2750,,,,,,,,,0,,78,19632,7000,39351,2,2013,415.37,3738.33,2428.1,1310.23,-138.07,0,0,0,0,0.7731,0,0,0,371
36,3,0.23748,0.23,0.21,,,,,,0,0,2,16,0,1,600,619,36133,12,10,24,10,1402,3,6,0,0,0,0,0,47816,0.89,5874,23,1,0,0.59,4,3891.666667,,,,,,,,,1688,31,83,13475,23500,39198,2,2012,173.71,521.13,209.75,311.38,-9.81,0,3790.25,3790.25,0,1,0,0,0,10
36,2,0.19744,0.1605,0.1505,0.14089,0.0674,0.07349,4,4,1,0,5,427,1,0,660,679,26938,14,14,35,15,464,2,6,1,52379,4,0,0,15885,0.68,7165,34,0.97,3,0.21,4,4666.666667,,,,,,,,,0,,0,135763,15000,41705,3,2013,124.76,873.32,227.07,646.25,-23.01,0,0,0,0,1,0,0,0,8
36,0,0.16802,0.15,0.12,,,,,,0,0,4,1,0,1,620,639,33497,4,3,14,1,16,0,2,1,111,12,1,0,1593,0.07,19407,13,0.53,0,0.2,7,860,,,,,,,,,0,,83,12918,1000,39189,3,2006,334.54,5325.33,3987.33,1338,-54.61,0,6012.65,6012.67,268.96,1,0,0,0,85
36,2,0.12016,0.092,0.082,0.0796,0.0249,0.0547,6,7,2,1,1,44,0,0,680,699,35142,14,14,29,13,389,3,5,0,0,0,1,0,3989,0.21,10266,29,1,2,0.18,4,6125,,,,,,,,,0,,0,134815,10000,41701,1,2013,482.18,5303.98,4121.04,1182.94,-121.47,0,0,0,0,1,0,0,0,303
60,2,0.15425,0.1314,0.1214,0.11567,0.0449,0.07077,5,10,1,1,1,82,1,0,740,759,26724,21,17,49,13,1410,0,2,0,0,0,0,0,62999,0.39,86509,47,1,0,0.36,2,8333.333333,,,,,,,,,0,,3,123257,15000,41632,4,2013,180.45,717.8377,241.16,476.6777,-21.61,0,0,0,0,1,0,0,0,1
60,2,0.30748,0.2809,0.2709,0.2473,0.1225,0.1248,2,4,6,1,2,133,1,0,640,659,37114,6,7,29,3,492,1,3,1,2469,12,0,0,14030,1,27,25,0.84,0,0.15,5,8291.666667,3,67,67,0,0,10700,4064.87,-19,0,,8,95921,4000,41473,4,2013,472.66,1412.94,969.86,443.08,-34.11,0,0,0,0,1,0,0,0,1
36,3,0.13202,0.125,0.1175,,,,,,0,1,3,,1,1,760,779,33012,,,36,16,346,7,17,2,,0,0,,,,,,,,0.12,6,5833.333333,,,,,,,,,2239,1,91,2711,10000,38951,4,2007,112.64,4061.05,3000,1061.05,-51.12,0,0,0,0,1,0,0,0,53
36,0,0.21488,0.2075,0.1975,,,,,,0,1,2,36,0,1,620,639,37792,4,4,13,3,15,0,8,1,5200,5,1,0,134,0.08,1366,6,0.37,0,0.09,3,3750,,,,,,,,,0,,75,23565,3000,39428,1,2013,172.76,2073.12,951,1122.12,-35.8,0,0,0,0,1,0,0,0,94
36,2,0.32446,0.285,0.275,0.25006,0.1475,0.10256,2,2,1,1,1,112,1,0,680,699,27111,12,11,34,10,757,3,5,0,0,12,0,0,103263,0.55,31444,32,0.87,2,0.14,2,8750,,,,,,,,,0,,3,121285,10000,41619,2,2013,78.67,236.01,117.73,118.28,-4.89,0,1882.27,1882.27,0,1,0,0,0,30
36,2,0.21025,0.1734,0.1634,0.1536,0.0624,0.0912,4,5,1,1,1,32,1,0,720,739,29983,14,12,31,12,1125,1,3,0,0,0,0,0,34881,0.91,3041,31,1,1,0.19,2,8916.666667,,,,,,,,,0,,9,94349,16000,41452,4,2013,141.02,280.2647,173.15,107.1147,-6.72,0,0,0,0,1,0,0,0,1
36,2,0.15833,0.1299,0.1199,0.1148,0.0399,0.0749,6,8,1,1,1,90,1,1,680,699,35280,15,15,33,11,561,2,3,0,0,0,0,0,20812,0.84,3595,27,0.88,2,0.35,4,5416.666667,3,20,20,0,0,27000,11308.14,14,0,,10,90027,15000,41407,4,2013,161.78,647.12,302.67,344.45,-13.11,0,0,0,0,1,0,0,0,3
60,2,0.11695,0.0949,0.0849,0.0827,0.0224,0.0603,6,10,1,1,1,145,1,0,780,799,34940,11,10,30,9,1010,0,2,0,0,1,0,0,42592,0.36,66742,26,0.92,0,0.21,5,7458.333333,,,,,,,,,0,,7,99129,25000,41507,1,2013,124.76,4725.35,4000,725.35,-25.81,0,0,0,0,1,0,0,0,37
12,0,0.35843,0.2669,0.2569,0.2452,0.13,0.1152,2,3,1,1,1,70,0,0,600,619,36774,14,13,54,14,359,2,7,0,0,0,0,0,17778,0.94,955,25,0.92,0,0.28,4,4777,1,12,12,0,0,6000,4509.4,-25,0,,33,50675,3000,40721,2,2010,0,4594.48,4000,594.48,-64.62,0,0,0,0,1,0,0,0,121
36,2,0.12528,0.0974,0.0874,0.0849,0.0249,0.06,6,9,16,2,1,113,1,0,800,819,30375,5,5,29,7,115,0,1,4,10056,14,0,0,1444,0.04,30754,26,0.76,0,0.15,3,2875,,,,,,,,,0,,16,77296,10000,41214,4,2013,354.54,6449.9921,6080.07,369.9221,-22.56,0,0,0,0,1,0,0,0,1
36,1,0.28032,0.2419,0.2319,0.2126,0.1075,0.1051,3,5,15,2,1,3,0,0,680,699,35955,7,7,34,5,245,0,0,0,0,0,0,0,7975,0.84,607,22,1,0,0.39,3,2500,,,,,,,,,193,8,11,89204,2000,41390,1,2014,1169.03,1157.1492,800.72,356.4292,-29.73,0,0,0,0,1,0,0,0,1
36,2,0.24614,0.2085,0.1985,0.18316,0.0925,0.09066,3,4,2,3,1,44,1,0,680,699,38037,19,19,49,6,220,1,9,0,0,0,0,0,6193,0.81,695,39,0.95,2,0.26,2,9583.333333,1,11,11,0,0,11000,9947.9,,0,,6,102670,15000,41537,1,2012,322.62,10681.27,9994.95,686.32,-68.22,0,0,0,0,1,0,0,0,30
36,0,0.11296,0.092,0.082,0.0608,0.021,0.0608,6,9,1,3,2,10,1,0,700,719,36627,16,16,49,11,294,2,8,0,0,0,0,0,7246,0.09,30794,40,1,2,0.26,5,6666.666667,,,,,,,,,0,,45,43110,4000,40353,3,2012,86.85,1476.45,715.61,760.84,-23.95,0,0,0,0,1,0,0,0,24
60,2,0.13227,0.1099,0.0999,0.0965,0.0299,0.0666,6,7,1,3,1,28,1,0,740,759,26908,13,13,53,15,471,1,6,1,2629,4,0,0,18590,0.63,10735,50,0.9,1,0.13,2,16000,,,,,,,,,0,,11,87756,25000,41374,1,2014,839.22,830.494,568.71,261.784,-21.23,0,0,0,0,1,0,0,0,1
60,2,0.20931,0.1852,0.1752,0.1721,0.0449,0.1272,5,5,2,3,1,61,1,0,720,739,31656,14,9,42,4,146,5,8,0,0,2,0,0,2972,0.45,3528,26,0.76,1,0.16,2,10000,1,9,8,1,0,8000,6384.14,59,0,,19,73248,18000,41152,4,2010,500.28,17544.95,16000,1544.95,-196.82,0,0,0,0,1,0,0,0,326
36,2,0.31032,0.2712,0.2612,0.2382,0.1275,0.1107,2,2,1,4,1,172,0,0,680,699,36798,10,7,20,6,214,0,0,0,0,0,0,0,5812,0.72,1929,16,0.68,0,0.27,3,2083.333333,,,,,,,,,0,,11,88353,3000,41382,1,2014,367.57,0,0,0,0,0,0,0,0,1,0,0,0,1
36,4,0.17969,0.1435,0.1335,0.1264,0.0524,0.074,5,4,1,4,1,1,0,0,680,699,35378,9,7,29,8,290,1,4,0,0,0,0,0,8624,0.7,3626,20,1,0,0.18,3,2416.666667,,,,,,,,,3,,2,125045,4000,41646,4,2011,317.35,8251.1,6044.1,2207,-136.14,0,0,0,0,1,0,0,0,14
36,2,0.23939,0.2019,0.1919,0.1783,0.0799,0.0984,4,4,2,5,1,103,0,0,700,719,36216,6,6,10,5,101,3,16,0,0,0,1,0,1260,0.13,2181,10,0.8,0,0.24,3,3355.75,,,,,,,,,0,,10,90051,10000,41407,4,2013,416.34,832.68,352.79,479.89,-16.84,0,0,0,0,1,0,0,0,3
60,2,0.24754,0.2225,0.2125,0.1952,0.1025,0.0927,3,8,1,5,1,18,0,0,680,699,39307,15,15,24,8,331,0,2,0,0,0,0,0,3140,0.6,1987,20,1,0,0.41,3,3075,1,12,12,0,0,8000,5786,,0,,5,105323,6500,41557,3,2013,197.98,986.5178,498.9,487.6178,-19.88,0,0,0,0,1,0,0,0,1
36,2,0.0762,0.0629,0.0529,0.05221,0.0099,0.04231,7,9,7,6,1,269,1,0,820,839,34060,17,16,32,12,219,1,6,0,0,0,0,0,9906,0.11,77696,29,1,1,0.25,3,3333.333333,,,,,,,,,0,,3,121268,10000,41620,3,2013,218.03,1308.18,1057.13,251.05,-33.08,0,0,0,0,1,0,0,0,151
36,2,0.0762,0.0629,0.0529,0.05221,0.0099,0.04231,7,11,7,6,1,269,1,0,820,839,34060,17,16,32,12,219,1,6,0,0,0,0,0,9906,0.11,77696,29,1,1,0.25,3,3333.333333,,,,,,,,,0,,3,121268,10000,41620,3,2006,57.64,12688.13,10000,2688.13,-81.4,-299.78,0,0,0,1,0,0,0,44
60,2,0.27462,0.2489,0.2389,0.2332,0.089,0.1442,4,7,1,7,1,300,0,0,640,659,32841,2,2,56,4,25,1,2,1,253,28,1,0,387,0.51,363,47,0.72,0,0.12,5,7500,,,,,,,,,0,,22,65946,13500,41046,1,2014,374.81,374.81,162.14,212.67,-12.33,0,0,0,0,1,0,0,0,3
36,0,0.15033,0.1325,0.1225,,,,,,0,8,2,19,0,0,640,659,36843,2,2,10,1,40,3,5,3,2224,1,0,0,1220,0.32,2580,7,0.4,0,0.27,1,1666.666667,,,,,,,,,0,,77,20907,1000,39373,2,2012,350.6,7012,2941.26,4070.74,-195.26,0,0,0,0,1,0,0,0,181
36,2,0.13138,0.1034,0.0934,0.0905,0.0274,0.0631,6,8,1,9,1,98,1,0,740,759,39161,9,8,18,8,260,0,2,0,0,0,0,0,9171,0.32,19129,18,0.94,0,0.09,4,5833.333333,,,,,,,,,0,,8,96202,8500,41473,1,2007,62.86,817.18,403.08,414.1,-7.14,0,1096.92,1096.92,0,1,0,0,0,15
36,3,0.29394,0.2552,0.2452,0.2392,0.119,0.1202,3,5,1,9,1,155,1,0,720,739,33714,18,14,37,14,331,7,11,0,0,0,0,0,8477,0.59,4444,27,0.96,0,0.15,2,9166.666667,,,,,,,,,414,17,26,59180,2000,40928,4,2013,179.76,719.04,432.03,287.01,-16.3,0,0,0,0,1,0,0,0,5
60,2,0.11695,0.0949,0.0849,0.0827,0.0224,0.0603,6,8,1,10,1,35,0,0,740,759,33791,25,22,48,20,823,0,1,0,0,0,0,0,32898,0.43,42204,48,1,0,0.2,2,10833.33333,,,,,,,,,0,,10,90060,19330,41407,2,2013,573.15,4577.5989,2840.74,1736.8589,-100.6,0,0,0,0,1,0,0,0,1
36,2,0.12528,0.0974,0.0874,0.0849,0.0249,0.06,6,7,1,11,1,179,0,0,740,759,34688,10,9,34,7,451,0,1,0,0,0,0,0,18573,0.54,15507,32,1,0,0.24,5,6250,,,,,,,,,0,,12,85974,15000,41344,2,2013,543.44,5434.4,3264.76,2169.64,-197.42,0,0,0,0,1,0,0,0,515
60,0,0.30748,0.2809,0.2709,0.2473,0.1225,0.1248,2,3,1,11,1,25,0,0,660,679,27693,7,6,12,6,95,2,3,0,0,0,0,0,2033,0.3,3619,10,1,1,0.11,3,3885.916667,,,,,,,,,0,,13,85538,4000,41326,3,2008,138.66,4667.64,4000,667.64,-44.51,0,0,0,0,1,2,1,789.59,103
36,2,0.30899,0.2699,0.2599,0.23673,0.1325,0.10423,2,4,1,11,1,3,1,0,680,699,36325,8,8,17,5,370,1,4,0,0,0,0,0,11229,0.81,2258,15,0.93,0,0.42,3,3166.666667,,,,,,,,,0,,5,105188,5000,41556,2,2013,505.34,4737.38,3439.32,1298.06,-99.94,0,0,0,0,1,1,0,0,1
36,2,0.16732,0.1314,0.1214,0.11567,0.0449,0.07077,5,7,1,12,1,175,1,0,660,679,31022,9,9,23,8,548,0,4,0,0,0,1,0,20551,0.95,822,21,0.95,0,0.2,4,5166.666667,,,,,,,,,0,,4,118374,14000,41607,3,2013,358.35,2150.0975,1034.05,1116.0475,-62.49,0,0,0,0,1,0,0,0,1
36,2,0.19108,0.1621,0.1521,0.1495,0.0595,0.09,5,8,1,12,1,55,0,0,700,719,37050,8,5,16,3,193,0,0,0,0,0,0,0,5328,0.58,3282,16,0.87,0,0.2,3,3833.333333,,,,,,,,,0,,27,57780,9000,40898,3,2013,524.92,3149.52,1993.02,1156.5,-121.87,0,0,0,0,1,0,0,0,481
36,2,0.17601,0.1399,0.1299,0.1238,0.0449,0.0789,5,7,1,12,1,51,0,0,660,679,32630,9,9,57,13,388,0,2,0,0,42,1,0,9037,0.57,3538,54,0.74,2,0.22,3,3416.666667,,,,,,,,,0,,4,108557,10000,41579,4,2013,273.35,540.8096,183.15,357.6596,-16.91,0,0,0,0,1,0,0,0,1
36,2,0.22415,0.187,0.177,0.16468,0.0774,0.08728,4,4,1,12,1,179,0,0,680,699,35632,7,7,19,4,151,0,7,0,0,0,1,0,4231,0.91,298,18,0.94,1,0.37,4,4734.333333,,,,,,,,,0,,6,102095,15000,41536,4,2011,90.37,2439.99,1743.39,696.6,-38.69,0,0,0,0,1,0,0,0,51
36,2,0.30182,0.2629,0.2529,0.23057,0.1275,0.10307,2,3,15,13,1,15,0,0,680,699,36657,2,2,16,2,38,1,4,0,0,4,2,0,331,0.07,4069,10,0.72,1,0.12,5,6974,,,,,,,,,0,,5,105431,4000,41557,1,2013,230.93,2540.23,1884.63,655.6,-56.88,0,0,0,0,1,0,0,0,87
36,2,0.20268,0.166,0.156,0.14661,0.0624,0.08421,4,4,2,14,1,48,1,0,720,739,40169,5,5,7,4,60,0,3,0,0,0,0,0,2919,0.31,6381,5,1,0,0.12,3,3600,,,,,,,,,0,,4,110393,10000,41591,1,2013,122.67,1472.04,748.54,723.5,-26.69,0,0,0,0,1,0,0,0,65
36,2,0.16324,0.1274,0.1174,0.1121,0.0424,0.0697,5,8,1,15,1,269,1,0,660,679,34472,9,8,30,7,610,0,6,0,0,51,0,0,25224,0.8,5049,29,0.96,0,0.22,5,7000,,,,,,,,,0,,2,127880,25000,41661,3,2012,462.19,8304.42,3785.21,4519.21,-244.02,0,0,0,0,1,0,0,0,4
36,2,0.22966,0.192,0.182,0.1681,0.0899,0.0782,4,5,1,16,5,426,1,0,640,659,28764,6,6,16,4,60,1,5,2,15543,15,1,0,4175,0.91,266,14,0.75,0,0.17,3,4058.333333,,,,,,,,,0,,1,133362,10000,41697,4,2013,341.73,1363.0871,922.34,440.7471,-31.78,0,0,0,0,1,0,0,0,1
36,0,0.15211,0.145,0.14,,,,,,0,16,9,,0,0,680,699,34639,,,6,4,278,1,3,0,,0,0,,,,,,,,0.06,6,9583.333333,,,,,,,,,0,,92,1901,10000,38915,3,2013,547.57,2722.85,1564.63,1158.22,-60.47,-93.09,0,0,0,1,0,0,0,77
36,2,0.28544,0.2469,0.2369,0.2165,0.1175,0.099,3,6,15,17,1,361,1,0,640,659,34714,10,9,47,6,248,0,1,0,0,52,1,0,8672,0.93,578,32,0.68,1,0.31,3,3333.333333,,,,,,,,,0,,6,103613,5000,41547,1,2012,80.07,890.63,430.97,459.66,-17.43,0,1569.03,1569.03,0,1,0,0,0,2
60,2,0.19323,0.1695,0.1595,0.14963,0.0649,0.08473,4,7,1,17,1,195,1,0,700,719,34508,10,9,35,8,1047,0,2,0,0,0,0,0,45348,0.89,5271,25,1,1,0.29,5,7500,,,,,,,,,0,,4,110050,25000,41585,3,2013,191.12,1337.84,646.4,691.44,-45.52,0,0,0,0,1,0,0,0,82
36,2,0.2129,0.176,0.166,0.15519,0.0699,0.08529,4,6,1,18,1,25,0,0,640,659,38353,9,9,15,7,152,0,11,0,0,0,0,0,5985,0.74,2025,15,0.8,0,0.1,4,4333.333333,,,,,,,,,0,,5,105413,5000,41557,3,2007,244.47,8861.23,6999.8,1861.43,-116.33,0,0,0,0,1,0,0,0,193
60,2,0.17522,0.1519,0.1419,0.135,0.0474,0.0876,5,6,1,18,1,89,0,0,720,739,34029,7,6,22,5,492,0,3,0,0,0,0,0,8764,0.32,16098,22,0.95,0,0.25,4,4666.666667,1,1,1,0,0,15000,0,27,0,,8,96291,8000,41479,4,2013,620.64,1850.3104,805.48,1044.8304,-62.33,0,0,0,0,1,0,0,0,1
36,0,0.1717,0.15,0.14,,,,,,1,19,2,32,0,1,660,679,36298,10,9,28,6,151,1,7,0,0,29,0,0,4519,0.68,2031,27,0.81,0,0.27,3,3166.666667,1,9,9,0,0,6000,4317.11,0,0,,67,35508,4000,39675,4,2013,67.14,133.5819,91.49,42.0919,-3.36,0,0,0,0,1,0,0,0,1
36,2,0.31032,0.2712,0.2612,0.2382,0.1275,0.1107,2,4,1,19,1,76,0,0,640,659,36104,4,4,9,3,96,0,1,1,67,0,1,0,2599,0.87,90,6,0.71,0,0.17,3,4056,,,,,,,,,0,,13,85084,3000,41310,2,2007,909.68,23511.66,14754.94,8756.72,-324.49,-523.49,8787.08,8745.06,0,1,0,0,0,384
60,2,0.17522,0.1519,0.1419,0.135,0.0474,0.0876,5,6,1,20,1,10,1,0,720,739,34578,19,17,41,7,846,0,0,0,0,0,0,0,153812,0.97,3507,39,0.94,1,0.25,2,14583.33333,,,,,,,,,0,,7,100426,15000,41514,4,2006,251.43,6828.36,6000,828.36,-14.28,0,0,0,0,1,0,0,0,41
60,2,0.23984,0.215,0.205,0.18828,0.1025,0.08578,3,5,1,21,1,43,1,0,640,659,34248,12,11,48,10,347,1,9,2,579,18,0,0,3706,0.37,3414,40,0.76,1,0.12,5,7916.666667,,,,,,,,,0,,3,122926,10000,41627,4,2013,204.1,812.7027,374.24,438.4627,-16.39,0,0,0,0,1,0,0,0,1
36,2,0.202,0.1799,0.1699,0.1669,0.0595,0.1074,5,8,1,21,1,0,1,0,640,659,34456,5,5,27,3,73,1,2,0,0,0,1,0,1287,0.91,113,20,0.95,1,0.11,4,4853.333333,,,,,,,,,0,,28,55623,2500,40854,1,2014,527.73,0,0,0,0,0,0,0,0,1,0,0,0,1
36,2,0.16324,0.1274,0.1174,0.1121,0.0424,0.0697,5,8,19,22,1,103,1,0,660,679,32174,6,5,62,6,76,4,13,20,72705,72,2,0,414,0.19,1215,47,0.74,2,0.03,5,7108.333333,2,4,4,0,0,19000,0.01,,0,,3,119808,2000,41617,2,2007,0,1440.27,958.4,481.87,-6.39,-33.29,0,0,0,1,0,0,0,1
36,0,0.29776,0.29,0.285,,,,,,0,22,3,,1,0,620,639,36662,,,34,3,376,7,20,0,,0,0,,,,,,,,0.25,6,7500,,,,,,,,,0,,89,3919,6000,39003,2,2011,287.6,3394.57,3000,394.57,-14.79,0,0,0,0,1,0,0,0,32
36,0,0.21554,0.197,0.167,,,,,,0,23,2,34,1,1,580,599,37873,21,15,30,6,134,0,23,1,169,0,0,0,3735,0.9,181,27,0.92,3,0.45,3,2750,,,,,,,,,0,,84,9365,1000,39168,1,2007,37.01,1294.98,1000,294.98,-16.67,0,0,0,0,1,0,0,0,23
60,2,0.13636,0.1139,0.1039,0.09989,0.0349,0.06499,6,11,1,24,8,12,1,1,700,719,34912,5,5,21,3,373,0,2,0,0,0,0,0,19961,0.79,5039,21,1,0,,3,2700,3,16,16,0,0,7861,0.02,,0,,2,128889,9000,41668,1,2014,197.44,194.6315,115.99,78.6415,-7.15,0,0,0,0,1,0,0,0,1
36,2,0.24246,0.2049,0.1949,0.1808,0.0824,0.0984,4,6,1,12,1,37,0,0,640,659,38442,12,12,22,4,140,0,1,0,0,0,0,0,7101,0.76,2149,12,1,0,0.17,4,4500,,,,,,,,,0,,8,95011,10000,41458,3,2013,374.14,2987.5063,1727.54,1259.9663,-61.76,0,0,0,0,1,0,0,0,1
